LAST SEEN   TYPE      REASON                  OBJECT                                             MESSAGE
82s         Normal    Killing                 pod/dev-promtail-9vfs8                             Stopping container promtail
54s         Warning   Unhealthy               pod/dev-promtail-9vfs8                             Readiness probe failed: Get "http://192.168.72.61:3101/ready": dial tcp 192.168.72.61:3101: connect: connection refused
82s         Normal    Killing                 pod/dev-promtail-g6fpn                             Stopping container promtail
53s         Warning   Unhealthy               pod/dev-promtail-g6fpn                             Readiness probe failed: Get "http://192.168.35.208:3101/ready": dial tcp 192.168.35.208:3101: connect: connection refused
9m40s       Normal    FailedBinding           persistentvolumeclaim/hanium-2021-pvc              no persistent volumes available for this claim and no storage class is set
9m26s       Warning   FailedScheduling        pod/log-report-6788d9b856-ndtxd                    0/2 nodes are available: 2 pod has unbound immediate PersistentVolumeClaims.
9m18s       Normal    Scheduled               pod/log-report-6788d9b856-ndtxd                    Successfully assigned default/log-report-6788d9b856-ndtxd to ip-192-168-47-159.ap-northeast-1.compute.internal
9m16s       Normal    Pulling                 pod/log-report-6788d9b856-ndtxd                    Pulling image "238856124133.dkr.ecr.ap-northeast-1.amazonaws.com/private-main-frontend:latest"
8m59s       Normal    Pulled                  pod/log-report-6788d9b856-ndtxd                    Successfully pulled image "238856124133.dkr.ecr.ap-northeast-1.amazonaws.com/private-main-frontend:latest" in 16.942240649s
8m59s       Normal    Created                 pod/log-report-6788d9b856-ndtxd                    Created container main-frontend
8m58s       Normal    Started                 pod/log-report-6788d9b856-ndtxd                    Started container main-frontend
87s         Normal    Killing                 pod/log-report-6788d9b856-ndtxd                    Stopping container main-frontend
9m40s       Normal    SuccessfulCreate        replicaset/log-report-6788d9b856                   Created pod: log-report-6788d9b856-ndtxd
9m40s       Normal    ScalingReplicaSet       deployment/log-report                              Scaled up replica set log-report-6788d9b856 to 1
9m26s       Warning   FailedScheduling        pod/main-frontend-78cf9ccd55-zszj5                 0/2 nodes are available: 2 pod has unbound immediate PersistentVolumeClaims.
9m18s       Normal    Scheduled               pod/main-frontend-78cf9ccd55-zszj5                 Successfully assigned default/main-frontend-78cf9ccd55-zszj5 to ip-192-168-47-159.ap-northeast-1.compute.internal
9m16s       Normal    Pulling                 pod/main-frontend-78cf9ccd55-zszj5                 Pulling image "238856124133.dkr.ecr.ap-northeast-1.amazonaws.com/private-main-frontend:latest"
8m59s       Normal    Pulled                  pod/main-frontend-78cf9ccd55-zszj5                 Successfully pulled image "238856124133.dkr.ecr.ap-northeast-1.amazonaws.com/private-main-frontend:latest" in 16.970827239s
8m59s       Normal    Created                 pod/main-frontend-78cf9ccd55-zszj5                 Created container main-frontend
8m59s       Normal    Started                 pod/main-frontend-78cf9ccd55-zszj5                 Started container main-frontend
87s         Normal    Killing                 pod/main-frontend-78cf9ccd55-zszj5                 Stopping container main-frontend
9m40s       Normal    SuccessfulCreate        replicaset/main-frontend-78cf9ccd55                Created pod: main-frontend-78cf9ccd55-zszj5
9m40s       Normal    EnsuringLoadBalancer    service/main-frontend-svc                          Ensuring load balancer
9m37s       Normal    EnsuredLoadBalancer     service/main-frontend-svc                          Ensured load balancer
87s         Normal    DeletingLoadBalancer    service/main-frontend-svc                          Deleting load balancer
65s         Normal    DeletedLoadBalancer     service/main-frontend-svc                          Deleted load balancer
9m40s       Normal    ScalingReplicaSet       deployment/main-frontend                           Scaled up replica set main-frontend-78cf9ccd55 to 1
26m         Normal    Pulling                 pod/sangwon                                        Pulling image "nginx1"
6m28s       Normal    BackOff                 pod/sangwon                                        Back-off pulling image "nginx1"
97s         Warning   Failed                  pod/sangwon                                        Error: ImagePullBackOff
